"_messagetimems","_messagetime","class","file","latency_ms","log_timestamp","method","sub_method","timestamp","_raw"
"1728860743000","10/13/2024 16:05:43.000 -0700","KeysTable","keys-table.mjs:38","100.99","2024/10/13 23:05:43.584","loadKeyFromDb_","getKey","Oct 13 23:05:43","Oct 13 23:05:43 merced-i-05434bef5666504a1-us-east-1 run[6072]: <info>2024/10/13 23:05:43.584[keys-table.mjs:38] [KeysTable] loadKeyFromDb_:getKey dynamo_latency: 100.99ms"
"1728860743000","10/13/2024 16:05:43.000 -0700","KeysTable","keys-table.mjs:38","102.12","2024/10/13 23:05:43.583","loadKeyFromDb_","getKey","Oct 13 23:05:43","Oct 13 23:05:43 merced-i-05434bef5666504a1-us-east-1 run[6072]: <info>2024/10/13 23:05:43.583[keys-table.mjs:38] [KeysTable] loadKeyFromDb_:getKey dynamo_latency: 102.12ms"
"1728860743000","10/13/2024 16:05:43.000 -0700","KeysTable","keys-table.mjs:38","107.85","2024/10/13 23:05:43.581","loadKeyFromDb_","getKey","Oct 13 23:05:43","Oct 13 23:05:43 merced-i-05434bef5666504a1-us-east-1 run[6072]: <info>2024/10/13 23:05:43.581[keys-table.mjs:38] [KeysTable] loadKeyFromDb_:getKey dynamo_latency: 107.85ms"
"1728860743000","10/13/2024 16:05:43.000 -0700","KeysTable","keys-table.mjs:38","100.28","2024/10/13 23:05:43.579","loadKeyFromDb_","getKey","Oct 13 23:05:43","Oct 13 23:05:43 merced-i-05434bef5666504a1-us-east-1 run[6072]: <info>2024/10/13 23:05:43.579[keys-table.mjs:38] [KeysTable] loadKeyFromDb_:getKey dynamo_latency: 100.28ms"
"1728860743000","10/13/2024 16:05:43.000 -0700","KeysTable","keys-table.mjs:38","106.65","2024/10/13 23:05:43.578","loadKeyFromDb_","getKey","Oct 13 23:05:43","Oct 13 23:05:43 merced-i-05434bef5666504a1-us-east-1 run[6072]: <info>2024/10/13 23:05:43.578[keys-table.mjs:38] [KeysTable] loadKeyFromDb_:getKey dynamo_latency: 106.65ms"
"1728860743000","10/13/2024 16:05:43.000 -0700","KeysTable","keys-table.mjs:38","105.84","2024/10/13 23:05:43.575","loadKeyFromDb_","getKey","Oct 13 23:05:43","Oct 13 23:05:43 merced-i-05434bef5666504a1-us-east-1 run[6072]: <info>2024/10/13 23:05:43.575[keys-table.mjs:38] [KeysTable] loadKeyFromDb_:getKey dynamo_latency: 105.84ms"
"1728840040000","10/13/2024 10:20:40.000 -0700","KeysTable","keys-table.mjs:38","100.02","2024/10/13 17:20:40.343","loadKeyFromDb_","getKey","Oct 13 17:20:40","Oct 13 17:20:40 merced-i-05434bef5666504a1-us-east-1 run[6072]: <info>2024/10/13 17:20:40.343[keys-table.mjs:38] [KeysTable] loadKeyFromDb_:getKey dynamo_latency: 100.02ms"
"1728840040000","10/13/2024 10:20:40.000 -0700","KeysTable","keys-table.mjs:38","110.14","2024/10/13 17:20:40.335","loadKeyFromDb_","getKey","Oct 13 17:20:40","Oct 13 17:20:40 merced-i-05434bef5666504a1-us-east-1 run[6072]: <info>2024/10/13 17:20:40.335[keys-table.mjs:38] [KeysTable] loadKeyFromDb_:getKey dynamo_latency: 110.14ms"
"1728840040000","10/13/2024 10:20:40.000 -0700","KeysTable","keys-table.mjs:38","122.63","2024/10/13 17:20:40.334","loadKeyFromDb_","getKey","Oct 13 17:20:40","Oct 13 17:20:40 merced-i-05434bef5666504a1-us-east-1 run[6072]: <info>2024/10/13 17:20:40.334[keys-table.mjs:38] [KeysTable] loadKeyFromDb_:getKey dynamo_latency: 122.63ms"
"1728840040000","10/13/2024 10:20:40.000 -0700","KeysTable","keys-table.mjs:38","110.92","2024/10/13 17:20:40.333","loadKeyFromDb_","getKey","Oct 13 17:20:40","Oct 13 17:20:40 merced-i-05434bef5666504a1-us-east-1 run[6072]: <info>2024/10/13 17:20:40.333[keys-table.mjs:38] [KeysTable] loadKeyFromDb_:getKey dynamo_latency: 110.92ms"
"1728840040000","10/13/2024 10:20:40.000 -0700","KeysTable","keys-table.mjs:38","111.78","2024/10/13 17:20:40.333","loadKeyFromDb_","getKey","Oct 13 17:20:40","Oct 13 17:20:40 merced-i-05434bef5666504a1-us-east-1 run[6072]: <info>2024/10/13 17:20:40.333[keys-table.mjs:38] [KeysTable] loadKeyFromDb_:getKey dynamo_latency: 111.78ms"
